Data from FLMS031491_15-43-31-366.txt Node	
	
Date: Sun Nov 07 15:43:31 EST 2021	
User: Student	
Spectrometer: FLMS03149	
Trigger mode: 0	
Integration Time (sec): 5.000000E-1	
Scans to average: 1	
Electric dark correction enabled: true	
Nonlinearity correction enabled: false	
Boxcar width: 0	
XAxis mode: Wavelengths	
Number of Pixels in Spectrum: 2048	
>>>>>Begin Spectral Data<<<<<	
751.68	2714.3
752.006	2798.56
752.332	2779.83
752.657	2646.42
752.983	2690.89
753.309	2604.29
753.634	2772.81
753.96	2730.68
754.286	2768.13
754.611	2597.27
754.936	2564.5
755.262	2723.66
755.587	2726
755.912	2702.59
756.237	2667.49
756.563	2580.89
756.888	2608.97
757.213	2611.31
757.538	2655.78
757.863	2632.38
758.188	2655.78
758.512	2641.74
758.837	2562.16
759.162	2501.31
759.487	2564.5
759.811	2482.58
760.136	2527.05
760.46	2515.35
760.785	2508.33
761.109	2562.16
761.433	2564.5
761.758	2538.76
762.082	2520.03
762.406	2594.93
762.73	2473.22
763.054	2417.05
763.378	2541.1
763.702	2517.69
764.026	2541.1
764.35	2484.93
764.674	2410.03
764.998	2424.07
765.321	2445.14
765.645	2395.98
765.969	2424.07
766.292	2405.35
766.616	2403.01
766.939	2405.35
767.263	2449.82
767.586	2388.96
767.909	2403.01
768.232	2398.33
768.556	2398.33
768.879	2403.01
769.202	2395.98
769.525	2431.09
769.848	2456.84
770.171	2353.86
770.494	2398.33
770.816	2534.08
771.139	2332.79
771.462	2250.87
771.785	2358.54
772.107	2386.62
772.43	2295.34
772.752	2508.33
773.075	2288.32
773.397	2318.75
773.719	2388.96
774.042	2307.04
774.364	2154.91
774.686	2246.19
775.008	2257.89
775.33	2321.09
775.652	2222.79
775.974	2269.6
776.296	2187.68
776.618	2302.36
776.94	2215.76
777.261	2199.38
777.583	2311.73
777.905	2215.76
778.226	2154.91
778.548	2211.08
778.869	2211.08
779.191	2150.23
779.512	2192.36
779.833	2185.34
780.155	2171.29
780.476	2180.66
780.797	2131.5
781.118	2101.08
781.439	2236.83
781.76	2094.06
782.081	2164.27
782.402	2122.14
782.723	2218.1
783.044	2145.55
783.364	2239.17
783.685	2133.84
784.006	2197.04
784.326	2136.19
784.647	2110.44
784.967	2194.7
785.288	2140.87
785.608	2075.33
785.928	2143.21
786.249	2087.03
786.569	2119.8
786.889	2173.63
787.209	2117.46
787.529	2159.59
787.849	2131.5
788.169	2087.03
788.489	2129.16
788.809	2072.99
789.128	2154.91
789.448	2089.37
789.768	2183
790.087	2110.44
790.407	2049.59
790.726	2063.63
791.046	2115.12
791.365	2072.99
791.685	2152.57
792.004	2019.16
792.323	2012.14
792.642	2112.78
792.961	2115.12
793.28	2014.48
793.599	2056.61
793.918	2037.88
794.237	2009.8
794.556	2056.61
794.875	2058.95
795.194	2075.33
795.512	2028.52
795.831	2019.16
796.15	2019.16
796.468	2070.65
796.787	2070.65
797.105	2023.84
797.423	2000.43
797.742	2014.48
798.06	2002.77
798.378	2058.95
798.696	2012.14
799.014	2033.2
799.333	2012.14
799.65	2042.56
799.968	2051.93
800.286	2075.33
800.604	1998.09
800.922	1948.94
801.24	2012.14
801.557	1951.28
801.875	1986.39
802.193	1951.28
802.51	1998.09
802.827	1911.49
803.145	2016.82
803.462	2002.77
803.78	1955.96
804.097	2002.77
804.414	1899.79
804.731	1895.11
805.048	1906.81
805.365	1986.39
805.682	1981.71
805.999	1981.71
806.316	1857.66
806.633	1841.28
806.95	1960.65
807.266	1948.94
807.583	1911.49
807.899	1951.28
808.216	1967.67
808.533	1885.75
808.849	1941.92
809.165	1965.33
809.482	1913.83
809.798	1885.75
810.114	1941.92
810.43	1984.05
810.746	1869.36
811.062	1834.26
811.378	1932.56
811.694	1918.52
812.01	1874.05
812.326	1925.54
812.642	1878.73
812.958	1932.56
813.273	1902.13
813.589	1857.66
813.905	1831.92
814.22	1892.77
814.536	1852.98
814.851	1923.2
815.166	1848.3
815.482	1892.77
815.797	1904.47
816.112	1925.54
816.427	1867.02
816.742	1857.66
817.057	1881.07
817.372	1937.24
817.687	1850.64
818.002	1834.26
818.317	1834.26
818.632	1845.96
818.946	1878.73
819.261	1822.55
819.576	1752.34
819.89	1836.6
820.205	1806.17
820.519	1841.28
820.833	1757.02
821.148	1792.13
821.462	1852.98
821.776	1850.64
822.09	1855.32
822.405	1794.47
822.719	1707.87
823.033	1766.38
823.347	1780.42
823.66	1829.58
823.974	1911.49
824.288	1824.89
824.602	1878.73
824.915	1848.3
825.229	1838.94
825.543	1750
